"Address","Errors","Warnings","Rich Result Errors","Rich Result Warnings","Rich Result Features","Feature-1","Total Types","Unique Types","Type-1","Indexability","Indexability Status"
"https://www.veteransplumbingcorp.com/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.veteransplumbingcorp.com/contact-us","0","0","0","0","0","","0","0","","Indexable",""
"https://www.veteransplumbingcorp.com/hot-water-heater-meridian","0","0","0","0","0","","0","0","","Indexable",""
"https://www.veteransplumbingcorp.com/Water-Softener-System","0","0","0","0","0","","0","0","","Indexable",""
"https://www.veteransplumbingcorp.com/water-softeners-Kuna-id","0","0","0","0","0","","0","0","","Indexable",""
"https://www.veteransplumbingcorp.com/Residential-Plumbing-Services","0","0","0","0","0","","0","0","","Indexable",""
"https://www.veteransplumbingcorp.com/sitemap","0","0","0","0","0","","0","0","","Indexable",""
"https://www.veteransplumbingcorp.com/water-softener-eagle-idaho","0","0","0","0","0","","0","0","","Indexable",""
"https://www.veteransplumbingcorp.com/Tankless-Water-Heater","0","0","0","0","0","","0","0","","Indexable",""
"https://www.veteransplumbingcorp.com/about-us","0","0","0","0","0","","0","0","","Indexable",""
"https://www.veteransplumbingcorp.com/Water-Heater-Replacement","0","0","0","0","0","","0","0","","Indexable",""
"https://www.veteransplumbingcorp.com/water-softeners-nampa-idaho","0","0","0","0","0","","0","0","","Indexable",""
"https://www.veteransplumbingcorp.com/thank-you","0","0","0","0","0","","0","0","","Indexable",""
"https://www.veteransplumbingcorp.com/privacy-policy","0","0","0","0","0","","0","0","","Indexable",""
